Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","镭灵 | 后台管理系统","http://manage.dmlei.com/Index/index","../manage.dmlei.com\Index\index.html","HTML","18603","","200 OK","0",""
"Parsed","","http://cdn.bootcss.com/bootstrap/3.3.5/css/bootstrap.min.css","../cdn.bootcss.com\bootstrap\3.3.5\css\bootstrap.min.css","HTML","122540","Wed, 17 Jun 2015 14:21:28 GMT","200 OK","1","http://manage.dmlei.com/Index/index"
"Parsed","","http://cdn.bootcss.com/font-awesome/4.4.0/css/font-awesome.min.css","../cdn.bootcss.com\font-awesome\4.4.0\css\font-awesome.min.css","HTML","26711","Wed, 29 Jul 2015 02:16:44 GMT","200 OK","1","http://manage.dmlei.com/Index/index"
"Parsed","","http://cdn.bootcss.com/ionicons/2.0.1/css/ionicons.min.css","../cdn.bootcss.com\ionicons\2.0.1\css\ionicons.min.css","HTML","51284","Thu, 23 Jul 2015 06:11:59 GMT","200 OK","1","http://manage.dmlei.com/Index/index"
"Parsed","","http://image.dmlei.com/Public/static/dist/css/AdminLTE.min.css","../image.dmlei.com\Public\static\dist\css\AdminLTE.min.css","HTML","83630","Wed, 18 Jan 2017 11:08:03 GMT","200 OK","1","http://manage.dmlei.com/Index/index"
"Error","","http://manage.dmlei.com/C:/Users/Administrator/Desktop/dmlei V2/jzyx.html","../manage.dmlei.com\C_\Users\Administrator\Desktop\dmlei V2\jzyx.html","HTML","0","","404 Not Found","1","http://manage.dmlei.com/Index/index"
"Parsed","","http://image.dmlei.com/Public/static/bootstrap/css/page.css","../image.dmlei.com\Public\static\bootstrap\css\page.css","HTML","5059","Tue, 11 Oct 2016 08:04:56 GMT","200 OK","1","http://manage.dmlei.com/Index/index"
"Parsed","","http://image.dmlei.com/Public/static/dist/css/skins/_all-skins.min.css","../image.dmlei.com\Public\static\dist\css\skins\_all-skins.min.css","HTML","42324","Tue, 11 Oct 2016 08:04:36 GMT","200 OK","1","http://manage.dmlei.com/Index/index"
"Error","","http://manage.dmlei.com/C:/Users/Administrator/Desktop/dmlei V2/xwtg.html","../manage.dmlei.com\C_\Users\Administrator\Desktop\dmlei V2\xwtg.html","HTML","0","","404 Not Found","1","http://manage.dmlei.com/Index/index"
"Parsed","","http://image.dmlei.com/Public/static/plugins/iCheck/flat/blue.css","../image.dmlei.com\Public\static\plugins\iCheck\flat\blue.css","HTML","1483","Tue, 11 Oct 2016 08:04:58 GMT","200 OK","1","http://manage.dmlei.com/Index/index"
